hospital,servico,disponivel,observacao,atualizado_em,fonte
Hospital e Maternidade São Lucas,Traumato-Ortopédica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Lucas,Anestesiologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Lucas,UTI Neonatal,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional do Cariri,Alta complexidade em Trauma-Ortopedia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional do Cariri,Centro de AVC Tipo III,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional do Cariri,UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Universitário do Ceará (HUC),Anestesiologia,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cardiologia,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cirurgia Bariátrica,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cirurgia de Cabeça e Pescoço,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cirurgia Digestiva,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cirurgia Geral,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Ginecologia,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Oncologia,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cirurgia Torácica,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cirurgia Vascular,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Clínica Médica,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cuidados Paliativos Adulto,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
Hospital Universitário do Ceará (HUC),Cuidados Paliativos Fetal,sim,Serviço informado na página institucional do HUC/ISGH.,2026-06-06,ISGH HUC; Resolução CIB/CE 903/2025; SESA 14/11/2025
